STT,Nhóm,Tool (tên MCP),Trạng thái,Ghi chú,Ngày test cuối
89,Track management (chỉ có mute_track hiện tại),`set_target_track` / `set_all_tracks_targeted` / `get_target_tracks`,❌ Không thể,XÁC NHẬN 2026-09-14: probe trực tiếp prototype Sequence/Track/SequenceEditor - KHÔNG có API add/delete/lock/toggle-visibility/set-target track qua UXP. Track chỉ có createSetNameAction/setMute/getIndex/isMuted/getTrackItems (thuần đọc + rename + mute),-
90,Project lifecycle,save_project,✅,Live-tested nhiều lần suốt session - ổn định,2026-09-14
91,Project lifecycle,save_project_as,✅,Live-tested: LƯU Ý project active chuyển hẳn sang file mới (như Premiere thật) không phải lưu bản sao,2026-09-14
92,Project lifecycle (0 tool save hiện tại),`create_project`,🆕 Đề xuất,"tạo project mới từ đầu [hetpatel, leancoderkavy]",-
93,Project lifecycle (0 tool save hiện tại),"`close_project` [leancoderkavy, antipaster]",🆕 Đề xuất,,-
94,Project lifecycle (0 tool save hiện tại),`create_project_backup`,🆕 Đề xuất,backup có verify byte [leancoderkavy],-
95,Project lifecycle (0 tool save hiện tại),`inspect_project_recovery`,🆕 Đề xuất,chẩn đoán auto-save recovery [leancoderkavy],-
96,Project lifecycle (0 tool save hiện tại),`flush_cache`,🆕 Đề xuất,xoá media cache giải phóng ổ đĩa [antipaster],-
97,Project lifecycle (0 tool save hiện tại),`get_workspaces` / `set_workspace`,🆕 Đề xuất,"quản lý layout [leancoderkavy, antipaster, hetpatel-expanded]",-
98,Project lifecycle (0 tool save hiện tại),"`get_project_scratch_disks` / `set_project_scratch_disk` / `set_scratch_disk_path` [leancoderkavy, hetpatel-expanded]",🆕 Đề xuất,,-
99,Project lifecycle (0 tool save hiện tại),`set_transcode_on_ingest` [leancoderkavy],🆕 Đề xuất,,-
100,Project lifecycle (0 tool save hiện tại),`get_full_project_overview` / `get_premiere_state`,🆕 Đề xuất,"snapshot toàn bộ state 1 lần [leancoderkavy, hetpatel-expanded]",-
101,Project lifecycle (0 tool save hiện tại),"`get_version_info` / `get_app_version` [leancoderkavy, antipaster]",🆕 Đề xuất,,-
102,Bin & project item management (nâng cao hơn create_bin/move_item_to_bin hiện có),`create_smart_bin`,🆕 Đề xuất,bin tìm kiếm tự động [leancoderkavy],-
103,Bin & project item management (nâng cao hơn create_bin/move_item_to_bin hiện có),"`delete_bin` / `rename_bin` [leancoderkavy, hetpatel-expanded]",🆕 Đề xuất,,-
104,Bin & project item management (nâng cao hơn create_bin/move_item_to_bin hiện có),`get_bin_contents`,🆕 Đề xuất,nội dung 1 bin cụ thể [leancoderkavy],-
105,Bin & project item management (nâng cao hơn create_bin/move_item_to_bin hiện có),`move_items_to_bin`,🆕 Đề xuất,di chuyển hàng loạt (khác move_item_to_bin đơn lẻ đã có) [leancoderkavy],-
106,Bin & project item management (nâng cao hơn create_bin/move_item_to_bin hiện có),"`delete_project_item` / `delete_multiple_project_items` / `delete_project_items` [leancoderkavy, antipaster]",🆕 Đề xuất,,-
107,Bin & project item management (nâng cao hơn create_bin/move_item_to_bin hiện có),"`rename_project_item` [hetpatel, leancoderkavy, antipaster]",🆕 Đề xuất,,-
108,Bin & project item management (nâng cao hơn create_bin/move_item_to_bin hiện có),"`find_project_item_by_name` / `find_items_by_media_path` / `search_project_items` / `find_project_items` [leancoderkavy, hetpatel-expanded, antipaster]",🆕 Đề xuất,,-
109,Bin & project item management (nâng cao hơn create_bin/move_item_to_bin hiện có),`get_project_item_info`,🆕 Đề xuất,"chi tiết đầy đủ 1 item [leancoderkavy, antipaster]",-
110,Bin & project item management (nâng cao hơn create_bin/move_item_to_bin hiện có),`select_item`,🆕 Đề xuất,chọn item trong Project panel [leancoderkavy],-
111,Bin & project item management (nâng cao hơn create_bin/move_item_to_bin hiện có),"`get_duplicate_media` / `consolidate_duplicates` [leancoderkavy, hetpatel]",🆕 Đề xuất,,-
112,Bin & project item management (nâng cao hơn create_bin/move_item_to_bin hiện có),`get_unused_media` / `get_used_media_report`,🆕 Đề xuất,"audit media hàng loạt [leancoderkavy, hetpatel-expanded]",-
113,Bin & project item management (nâng cao hơn create_bin/move_item_to_bin hiện có),`check_offline_media` / `get_offline_media`,🆕 Đề xuất,"khác `relink_offline_media` đơn lẻ đã có, đây là audit hàng loạt [leancoderkavy, hetpatel]",-
114,Bin & project item management (nâng cao hơn create_bin/move_item_to_bin hiện có),`set_offline`,🆕 Đề xuất,"đưa item offline/online lại [leancoderkavy, hetpatel-expanded]",-
115,Bin & project item management (nâng cao hơn create_bin/move_item_to_bin hiện có),`refresh_media`,🆕 Đề xuất,"reload media từ đĩa sau khi sửa [leancoderkavy, hetpatel, antipaster]",-
116,Bin & project item management (nâng cao hơn create_bin/move_item_to_bin hiện có),`clear_item_in_out` / `set_item_in_out`,🆕 Đề xuất,in/out điểm nguồn của project item [leancoderkavy],-
117,Bin & project item management (nâng cao hơn create_bin/move_item_to_bin hiện có),`set_start_time`,🆕 Đề xuất,"timecode offset của project item [leancoderkavy, hetpatel-expanded]",-
118,Bin & project item management (nâng cao hơn create_bin/move_item_to_bin hiện có),`set_override_frame_rate` / `set_override_pixel_aspect_ratio`,🆕 Đề xuất,"override interpretation [leancoderkavy, antipaster, hetpatel-expanded]",-
119,Bin & project item management (nâng cao hơn create_bin/move_item_to_bin hiện có),"`set_scale_to_frame_size` [leancoderkavy, antipaster, hetpatel-expanded]",🆕 Đề xuất,,-
120,Bin & project item management (nâng cao hơn create_bin/move_item_to_bin hiện có),`set_poster_frame`,🆕 Đề xuất,"thumbnail đại diện [leancoderkavy, hetpatel-expanded]",-
121,Bin & project item management (nâng cao hơn create_bin/move_item_to_bin hiện có),"`get_footage_interpretation` / `set_footage_interpretation` [leancoderkavy, hetpatel]",🆕 Đề xuất,,-
122,Bin & project item management (nâng cao hơn create_bin/move_item_to_bin hiện có),"`get_color_space` / `get_clip_color_space` [leancoderkavy, antipaster]",🆕 Đề xuất,,-
123,Bin & project item management (nâng cao hơn create_bin/move_item_to_bin hiện có),`create_subclip`,🆕 Đề xuất,"từ project item với in/out [leancoderkavy, hetpatel, antipaster — xác nhận cả 3]",-
124,Import / media nâng cao,`import_folder`,🆕 Đề xuất,"import cả thư mục [leancoderkavy, hetpatel]",-
125,Import / media nâng cao,`import_image_sequence`,🆕 Đề xuất,chuỗi ảnh đánh số thành 1 clip video [leancoderkavy],-
126,Import / media nâng cao,`import_ae_comps`,🆕 Đề xuất,"import composition từ After Effects [leancoderkavy, antipaster]",-
127,Import / media nâng cao,"`import_sequences` (từ project khác) [leancoderkavy, hetpatel, antipaster]",🆕 Đề xuất,,-
128,Import / media nâng cao,"`create_bars_and_tone` / `add_bars_and_tone` [leancoderkavy, antipaster]",🆕 Đề xuất,,-
129,Import / media nâng cao,`manage_media_watch`,🆕 Đề xuất,theo dõi thư mục media tự động import [leancoderkavy],-
130,Import / media nâng cao,`set_zero_point`,🆕 Đề xuất,timecode bắt đầu của sequence [leancoderkavy],-
131,Proxy workflow (0 tool hiện có),`manage_proxies` / `create_proxy` / `attach_proxy`,🆕 Đề xuất,"tạo và gắn proxy [leancoderkavy, antipaster]",-
132,Proxy workflow (0 tool hiện có),`has_proxy`,🆕 Đề xuất,kiểm tra đã có proxy chưa [leancoderkavy],-
133,Proxy workflow (0 tool hiện có),"`detach_proxy` [leancoderkavy, hetpatel-expanded]",🆕 Đề xuất,,-
134,Proxy workflow (0 tool hiện có),`toggle_proxy_mode`,🆕 Đề xuất,bật/tắt proxy toàn cục [antipaster],-
135,Sequence management nâng cao (ngoài create/delete/duplicate/settings đã có),`create_sequence_from_clips` / `create_sequence_from_clip`,🆕 Đề xuất,"tự đặt clip khi tạo [leancoderkavy, antipaster]",-
136,Sequence management nâng cao (ngoài create/delete/duplicate/settings đã có),`create_sequence_from_preset`,🆕 Đề xuất,"từ file .sqpreset [leancoderkavy, hetpatel-expanded]",-
137,Sequence management nâng cao (ngoài create/delete/duplicate/settings đã có),`close_sequence`,🆕 Đề xuất,đóng tab timeline [leancoderkavy],-
138,Sequence management nâng cao (ngoài create/delete/duplicate/settings đã có),`get_sequence_count` [leancoderkavy],🆕 Đề xuất,,-
139,Sequence management nâng cao (ngoài create/delete/duplicate/settings đã có),`get_full_sequence_info` / `get_sequence_structure`,🆕 Đề xuất,thông tin đầy đủ 1 sequence [leancoderkavy],-
140,Sequence management nâng cao (ngoài create/delete/duplicate/settings đã có),"`set_sequence_resolution` / `set_sequence_pixel_aspect_ratio` / `set_sequence_field_type` / `set_sequence_display_format` / `set_sequence_audio_settings` [leancoderkavy, hetpatel-expanded]",🆕 Đề xuất,,-
141,Sequence management nâng cao,get/set_sequence_in_out_points,✅,"Live-tested: set + partial-update (chỉ đổi in, giữ nguyên out) đều đúng. clear_sequence_in_out chưa làm riêng",2026-09-14
142,Sequence management nâng cao (ngoài create/delete/duplicate/settings đã có),`get_work_area` / `set_work_area` / `is_work_area_enabled`,🆕 Đề xuất,"thanh work-area [leancoderkavy, hetpatel-expanded]",-
143,Sequence management nâng cao (ngoài create/delete/duplicate/settings đã có),`create_subsequence`,🆕 Đề xuất,"từ in/out points [leancoderkavy, hetpatel, antipaster]",-
144,Sequence management nâng cao (ngoài create/delete/duplicate/settings đã có),`unnest_sequence` / `nest_clips`,🆕 Đề xuất,"lồng/tách sub-sequence [leancoderkavy, hetpatel-expanded, antipaster]",-
145,Sequence management nâng cao (ngoài create/delete/duplicate/settings đã có),`export_as_project`,🆕 Đề xuất,"xuất sequence thành .prproj riêng [leancoderkavy, hetpatel-expanded]",-
146,Sequence management nâng cao (ngoài create/delete/duplicate/settings đã có),`diff_sequence_snapshots`,🆕 Đề xuất,so sánh trước/sau [leancoderkavy],-
147,Sequence management nâng cao (ngoài create/delete/duplicate/settings đã có),`auto_reframe_sequence`,🆕 Đề xuất,"AI đổi tỷ lệ khung hình tự động [leancoderkavy, hetpatel, antipaster — xác nhận cả 3, giá trị cao]",-
148,Sequence management nâng cao (ngoài create/delete/duplicate/settings đã có),`audit_timeline_health` / `inspect_edit_readiness` / `validate_project_for_export`,🆕 Đề xuất,"điểm sức khoẻ sequence trước bàn giao [leancoderkavy, hetpatel]",-
149,Sequence management nâng cao (ngoài create/delete/duplicate/settings đã có),`get_graphics_white_luminance` / `set_graphics_white_luminance`,🆕 Đề xuất,HDR setting [leancoderkavy],-
150,Editing precision,roll_edit,✅,Live-tested: dời điểm cắt 5s→6s ra đúng 0-6s/6-10s cho 2 clip liền kề,2026-09-14
151,Editing precision,slip_edit,✅,"FIX 2026-09-14: createSetInPointAction/createSetOutPointAction âm thầm dịch cả vị trí timeline (bug xác nhận trên cả ảnh tĩnh lẫn video thật). Fix bù lại bằng createMoveAction. Live-tested",2026-09-14
152,Editing precision,slide_edit,🆕 Đề xuất,Chưa làm - phức tạp hơn (cần điều chỉnh cả 2 clip liền kề),-
153,Editing precision,extract_selection,✅,Live-tested: ripple đóng khoảng trống đúng (clip sau dịch về đúng vị trí),2026-09-14
154,Editing precision,lift_selection,✅,Live-tested: giữ nguyên khoảng trống đúng như kỳ vọng,2026-09-14
155,Editing precision,link_selection / unlink_selection,❌ Không thể,XÁC NHẬN 2026-09-14 qua probe trực tiếp prototype TrackItem: không có API link/unlink nào,-
156,Editing precision (chỉ có ripple-style hiện tại qua trim_clip/ripple_delete),`get_clip_links` / `get_linked_items` [leancoderkavy],🆕 Đề xuất,,-
157,Editing precision,remove_selected_clips,✅,"FIX 2026-09-14: getMediaType() trả object enum thật, so sánh === ""Audio"" (string) luôn sai. Fix dùng ppro.Constants.MediaType. Live-tested",2026-09-14
158,Editing precision (chỉ có ripple-style hiện tại qua trim_clip/ripple_delete),`split_clip`,🆕 Đề xuất,cắt 1 track tại 1 thời điểm (khác razor_all_tracks) [hetpatel],-
159,Editing precision (chỉ có ripple-style hiện tại qua trim_clip/ripple_delete),`razor_all_tracks` / `razor_timeline_at_time`,🆕 Đề xuất,"cắt xuyên toàn bộ track [leancoderkavy, hetpatel, antipaster]",-
160,Editing precision (chỉ có ripple-style hiện tại qua trim_clip/ripple_delete),`replace_clip`,🆕 Đề xuất,"thay clip giữ nguyên vị trí (khác replace_clip_media đổi media gốc) [leancoderkavy, hetpatel]",-
161,Editing precision,rename_clip,✅,Live-tested: đổi tên track item đúng (khác project item gốc),2026-09-14
162,Editing precision,enable_disable_clip,✅,Live-tested cả 2 chiều bật/tắt đúng,2026-09-14
163,Editing precision,move_clip_to_track,❌ Không thể,XÁC NHẬN 2026-09-14 qua probe TrackItem: không có API move-to-track,-
164,Editing precision (chỉ có ripple-style hiện tại qua trim_clip/ripple_delete),"`get_clip_at_playhead` / `get_clip_at_position` [leancoderkavy, hetpatel-expanded]",🆕 Đề xuất,,-
165,Editing precision (chỉ có ripple-style hiện tại qua trim_clip/ripple_delete),`get_clip_properties` / `get_full_clip_info`,🆕 Đề xuất,"đọc chi tiết 1 clip [leancoderkavy, hetpatel-expanded]",-
166,Editing precision (chỉ có ripple-style hiện tại qua trim_clip/ripple_delete),`get_total_clip_count` [leancoderkavy],🆕 Đề xuất,,-
167,Editing precision (chỉ có ripple-style hiện tại qua trim_clip/ripple_delete),`get_next_edit_point` / `move_playhead_to_edit` / `go_to_next_edit` / `go_to_previous_edit`,🆕 Đề xuất,"nhảy theo điểm cắt [leancoderkavy, antipaster]",-
168,Editing precision (chỉ có ripple-style hiện tại qua trim_clip/ripple_delete),`get_timeline_gaps` / `get_timeline_summary`,🆕 Đề xuất,tìm khoảng trống/tóm tắt timeline [leancoderkavy],-
169,Editing precision (chỉ có ripple-style hiện tại qua trim_clip/ripple_delete),`crop_clip`,🆕 Đề xuất,"Crop effect trực tiếp [leancoderkavy, hetpatel]",-
170,Editing precision (chỉ có ripple-style hiện tại qua trim_clip/ripple_delete),`stabilize_clip` / `inspect_stabilizer_status`,🆕 Đề xuất,"Warp Stabilizer [leancoderkavy, hetpatel]",-
171,Editing precision (chỉ có ripple-style hiện tại qua trim_clip/ripple_delete),`set_frame_blend` [leancoderkavy],🆕 Đề xuất,,-
172,Editing precision (chỉ có ripple-style hiện tại qua trim_clip/ripple_delete),`match_frame`,🆕 Đề xuất,nhảy tới nguồn tại playhead [leancoderkavy],-
173,Editing precision (chỉ có ripple-style hiện tại qua trim_clip/ripple_delete),`get_clip_speed`,🆕 Đề xuất,"đọc tốc độ/trạng thái reverse hiện tại [leancoderkavy, hetpatel-expanded, antipaster]",-
174,Motion/Transform,get_clip_transform,✅,"FIX 2026-09-14: Position/Anchor Point đọc {value:[x,y]} chuẩn hoá 0-1, không phải pixel {x,y} như giả định cũ. Fix quy đổi qua getFrameDimensions(). Live-tested. set_clip_transform (1 lệnh gộp) chưa làm riêng - có 5 tool set_clip_* tách lẻ",2026-09-14
175,"Motion/Transform (Clip properties — 0 tool riêng hiện tại, chỉ có set_effect_param chung)",`set_clip_properties` / `set_clip_properties_batch`,🆕 Đề xuất,"áp dụng hàng loạt clip [leancoderkavy, hetpatel]",-
176,Motion/Transform,set_clip_opacity,✅,Live-tested: verify read-back khớp đúng,2026-09-14
